Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
82,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 07:14:09",,BT00028573,,approval_pending,PSR0G370-2025,Bridgestone,"Bridgestone 245/45 R18 T005 100Y RFT 2025",1.0000,974,974.0000
83,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 07:04:47",,BT00028572,,approval_pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,605,605.0000
84,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 07:01:24",,BT00028571,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
85,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:52:53",,BT00028570,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
86,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:46:58",,BT00028569,,approval_pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,605,605.0000
87,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:41:56",,BT00028568,,approval_pending,TBR0J320-2025,Bridgestone,"Bridgestone 315/80 R22.5 154M R184Z 2025",1.0000,1774.8,1774.8000
88,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:37:49",,BT00028567,,approval_pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,605,605.0000
89,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:32:32",,BT00028566,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
90,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 06:06:33",,BT00028565,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
91,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 05:52:32",,BT00028564,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
92,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 05:33:26",,BT00028563,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
93,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 05:19:49",,BT00028562,,approval_pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
94,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-08 13:24:10",,BT00028561,,approval_pending,PSR0G695-2025,Bridgestone,"Bridgestone 265/40 R21 T005 105H EXT 2025",1.0000,1695,1695.0000
95,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2025-01-03 09:27:45",PO-123,BT00015932,,canceled,PSR15606-2024,Bridgestone,"Bridgestone 245/40 R21 96Y Runflat Potenza S001AZ 2024",4.0000,1774.8,7099.2000
96,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2025-01-01 19:16:56",PO1,BT00015908,,canceled,PSR09602-2024,Bridgestone,"Bridgestone 265/60 R18 110H Dueler D840BZ 2024",24.0000,674.9,16197.6000
97,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2025-01-01 19:16:56",PO1,BT00015908,,canceled,TBR08213-2024,Bridgestone,"Bridgestone 1200 R20 154K G580D 2024",4.0000,1949.9,7799.6000
98,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 12:23:31",TEST-PO-4,BT00012563,,canceled,PSR0G466-2024,Bridgestone,"Bridgestone 195/55 R16 87H Turanza T005 2024",4.0000,364.65,1458.6000
99,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2024-10-11 12:23:30",TEST-PO-3,BT00012562,,canceled,PSR0G466-2024,Bridgestone,"Bridgestone 195/55 R16 87H Turanza T005 2024",4.0000,364.65,1458.6000
